survey_id,employee_id,survey_month,enps_score,satisfaction_1_5
130,2105,2025-01,4,4
131,525,2024-03,-67,2
132,2321,2024-10,33,3
133,1027,2025-04,72,4
134,141,2025-06,-31,4
135,801,2025-11,-6,2
136,1252,2025-09,80,2
137,1507,2024-01,79,5
138,784,2024-12,-82,5
139,2703,2024-01,50,2
140,905,2025-08,-96,1
141,400,2024-02,-69,4
142,762,2025-07,26,1
143,1371,2024-01,-76,1
144,154,2024-03,-64,3
145,315,2025-11,-11,2
146,539,2024-05,-17,1
147,1341,2024-12,12,2
148,3261,2025-01,85,4
149,1996,2025-05,-15,4
150,281,2025-11,-39,4
151,237,2024-10,-58,2
152,355,2025-03,76,4
153,229,2025-12,-57,2
154,1731,2024-03,-100,4
155,2502,2024-12,2,1
156,1489,2024-08,47,3
157,1396,2025-11,-98,2
158,2037,2025-03,27,4
159,1204,2025-04,-12,2
160,2771,2024-05,56,2
161,2351,2025-11,-94,3
162,3369,2024-02,80,4
163,291,2024-12,75,3
164,1485,2025-05,37,5
165,2945,2025-10,24,5
166,2304,2024-07,41,4
167,2656,2024-09,-68,3
168,1604,2024-01,80,3
169,1335,2025-04,54,1
170,2579,2024-05,51,3
171,1606,2025-03,-1,5
172,1395,2024-03,-72,4
173,1363,2024-12,2,1
174,424,2024-12,9,1
175,2690,2025-01,-49,5
176,2917,2024-08,85,4
177,100,2024-05,-21,3
178,1379,2025-07,91,5
179,2300,2025-10,76,1
180,514,2024-07,-85,4
181,1037,2024-11,-71,5
182,3294,2024-03,-22,3
183,2670,2024-04,25,3
184,3005,2024-09,-78,2
185,3370,2025-05,-57,5
186,2334,2025-05,72,4
187,956,2025-06,-11,3
188,3265,2024-03,11,2
189,1528,2024-02,7,3
190,1847,2024-07,94,3
191,1876,2024-08,-76,2
192,1879,2025-01,4,5
193,1888,2025-03,-85,2
194,2662,2024-05,-91,1
195,537,2025-08,-3,4
196,1511,2025-06,81,4
197,1998,2024-08,-18,1
198,1909,2025-04,44,4
199,2480,2024-08,85,3
200,1146,2024-02,-99,4
201,3234,2025-06,40,2
202,51,2024-03,80,1
203,2485,2024-06,80,3
204,581,2024-08,47,1
205,2067,2025-10,86,2
206,81,2025-03,20,1
207,799,2025-07,-97,2
208,1341,2025-10,97,5
209,336,2025-10,76,3
210,1124,2025-03,-62,4
211,2173,2024-09,92,4
212,555,2024-10,30,1
213,2142,2024-04,-10,5
214,1603,2025-03,64,1
215,2875,2025-03,27,2
216,2185,2025-12,58,4
217,1528,2024-05,-31,3
218,2827,2025-07,-22,2
219,590,2024-07,-81,2
220,1943,2024-02,78,3
221,770,2024-10,-48,4
222,1544,2025-12,-73,4
223,1632,2024-12,-84,2
224,2050,2024-05,-23,2
225,1069,2024-08,-3,1
226,2268,2025-05,67,5
227,618,2024-07,31,4
228,573,2024-06,62,2
229,370,2024-06,-99,1
230,1648,2024-02,-95,5
231,1413,2025-05,-54,1
232,2828,2024-08,-23,1
233,1157,2024-08,-86,5
234,1990,2024-08,74,2
235,3307,2025-05,94,5
236,2110,2025-09,-3,3
237,2934,2025-06,61,3
238,1746,2025-02,-62,5
239,629,2025-06,-94,1
240,1540,2024-06,80,2
241,2581,2025-10,63,2
242,396,2025-03,52,4
243,1645,2025-11,66,2
244,1774,2024-07,42,5
245,3172,2024-04,61,4
246,3348,2025-06,94,N/A
247,2084,2024-08,76,5
248,726,2024-05,78,4
249,699,2025-07,-6,2
250,2051,2025-01,64,4
251,672,2025-07,-52,3
252,2307,2024-06,-37,2
253,3313,2024-02,74,2
254,641,2024-10,-27,5
255,3146,2025-12,67,4
256,133,2025-03,-1,1
257,1654,2025-09,-45,2
258,1322,2025-09,-18,3
259,1932,2025-10,16,4
260,1657,2024-12,-88,2
261,1874,2024-05,11,4
262,413,2025-10,-79,2
263,2615,2025-01,-3,1
264,3234,2024-08,-36,1
265,1626,2024-11,22,5
266,2935,2025-07,68,4
267,421,2024-09,-84,5
268,2508,2025-08,-83,3
269,1111,2024-06,-9,3
270,2294,2024-08,51,2
271,1947,2024-04,-44,1
272,151,2025-09,57,4
273,1203,2025-09,-100,1
274,1489,2024-05,-41,5
275,2787,2025-01,4,1
276,377,2025-07,25,5
277,3247,2025-03,-27,3
278,165,2025-04,77,2
279,829,2024-07,-14,2
280,488,2024-01,27,4
281,3046,2025-11,-78,5
282,1944,2025-10,86,3
283,2452,2025-11,1,3
284,2357,2024-02,-6,5
285,2011,2025-05,-46,3
286,1026,2024-07,22,2
287,447,2024-08,-100,5
288,1494,2024-10,-10,5
289,1408,2024-06,56,3
290,1497,2025-03,56,1
291,3410,2025-03,26,2
292,440,2025-11,-25,5
293,2221,2025-08,6,5
294,535,2025-05,-67,4
295,2027,2025-12,25,3
296,2317,2024-11,-57,5
297,122,2024-02,-35,3
298,1578,2025-10,47,1
299,1100,2024-09,-76,2
300,1671,2024-11,-34,2
301,1672,2024-10,-29,4
302,1618,2025-10,90,2
303,2198,2024-09,58,4
304,689,2025-05,-26,2
305,2936,2025-05,22,4
306,2882,2025-02,-52,2
307,1569,2025-02,59,2
308,3111,2024-02,-31,4
309,941,2025-10,81,5
310,704,2024-09,79,4
311,964,2024-06,-50,3
312,2675,2024-06,-18,5
313,473,2024-10,83,5
314,1044,2025-03,-81,5
315,499,2025-01,33,1
316,1522,2025-09,3,5
317,1046,2025-08,12,3
318,2799,2024-09,15,4
319,2626,2025-08,1,5
320,3031,2025-05,-32,3
321,1416,2025-09,-6,4
322,1820,2024-01,96,5
323,2945,2025-01,-86,1
324,2442,2025-04,-68,4
325,3251,2024-06,-90,4
326,3360,2025-04,25,1
327,259,2025-06,-34,1
328,806,2024-04,-91,4
329,2435,2025-11,-60,2
330,337,2025-11,-48,2
331,293,2024-07,-83,2
332,471,2024-05,54,3
333,246,2024-05,-96,2
334,2280,2024-01,77,1
335,945,2024-01,96,1
336,3229,2024-08,84,2
337,348,2025-04,-58,4
338,1564,2025-05,-55,3
339,2271,2025-02,97,4
340,1234,2025-04,25,3
341,2453,2024-04,9,2
342,2879,2025-12,73,5
343,2190,2024-05,-62,3
344,2079,2024-09,-19,4
345,1971,2025-04,-71,3
346,3403,2024-04,60,3
347,2676,2024-11,-60,5
348,207,2025-11,-74,2
349,2647,2024-06,-27,5
350,565,2025-03,13,1
351,2981,2025-03,-59,5
352,1112,2024-02,80,4
353,2375,2024-02,66,5
354,2531,2024-04,84,2
355,1219,2024-01,-27,4
356,3300,2025-01,-22,4
357,1798,2024-07,5,1
358,1448,2025-03,82,4
359,1681,2024-07,0,5
360,1055,2024-09,-22,5
361,370,2024-03,32,4
362,3363,2025-08,-74,5
363,2781,2024-03,100,2
364,2789,2025-10,38,4
365,3127,2024-05,-11,2
366,2097,2025/12,-82,5
367,3372,2025-06,-36,3
368,3375,2025-08,15,5
369,850,2025-08,95,2
370,1509,2024-11,-3,2
371,328,2024-05,100,5
372,2406,2025-05,4,5
373,381,2025-04,56,1
374,2614,2025-08,-81,2
375,2755,2024-06,60,1
376,1409,2025-08,-52,4
377,2164,2025-10,-19,1
378,3251,2025-06,-35,1
379,2590,2024-07,8,3
380,1510,2024-06,23,5
381,3101,2024-04,-30,4
382,138,2025-08,-89,4
383,775,2024-11,24,3
384,1122,2024-08,-16,1
385,1247,2024-04,65,2
386,2303,2024-12,39,4
387,2714,2024-05,-25,5
388,183,2025-09,-90,1
389,889,2024-09,7,2
390,2802,2024-11,59,1
391,1734,2025-04,55,1
392,1063,2025-05,-33,2
393,1519,2024-03,-59,1
394,2076,2024-02,-86,2
395,2039,2024-07,22,3
396,2841,2025-06,-48,4
397,3385,2025-09,55,3
398,2768,2025-12,20,3
399,356,2024-07,-90,4
400,1444,2025-07,38,2
401,1660,2024-05,-50,1
402,2156,2024-05,75,1
403,3285,2025-01,-95,5
404,1531,2024-03,-27,5
405,1192,2024-01,-99,2
406,3083,2025-12,27,4
407,2537,2025-08,-4,N/A
408,1572,2025-05,7,2
409,3183,2024-06,40,4
410,1037,2024-02,80,5
411,825,2024-04,-24,4
412,74,2024-11,14,5
413,279,2025-08,24,5
414,2962,2025-03,77,1
415,260,2025-09,-62,3
416,2620,2025-10,5,3
417,251,2025-06,68,1
418,789,2024-03,-44,2
419,1201,2024-06,-28,5
420,736,2024-09,-10,1
421,433,2025-01,42,3
422,3387,2025-08,34,3
423,1388,2025-12,-74,4
424,1450,2025-12,-59,3
425,2583,2024-12,64,1
426,3131,2025-12,35,3
427,1022,2025-11,4,2
428,1553,2024-04,-16,1
429,1643,2025-05,95,5
430,893,2024-11,77,3
431,437,2025-09,-19,5
432,3155,2025-09,-30,5
433,2392,2024-05,75,5
434,2327,2025-03,-31,2
435,1089,2025-11,-18,5
436,2263,2025-05,84,1
437,464,2025-09,-79,3
438,405,2025-06,41,5
439,3270,2025-07,38,3
440,784,2025-09,-24,2
441,2636,2025-11,-64,1
442,953,2024-05,73,3
443,2235,2025-07,60,4
444,2097,2024-10,72,5
445,2477,2025-02,-33,4
446,3267,2025-04,93,3
447,1458,2025-04,52,4
448,2966,2024-05,-52,4
449,1022,2025-08,-4,2
450,3301,2025-06,-37,2
451,1713,2025-06,7,2
452,2892,2025-03,-63,4
453,2827,2025-03,47,5
454,2174,2024-07,-8,1
455,3301,2025-03,33,5
456,2313,2024-07,28,1
457,2074,2025-10,33,3
458,868,2024-02,52,3
459,1290,2024-01,32,1
460,22,2025-06,3,4
461,2460,2025-06,17,5
462,2079,2025-02,26,2
463,2388,2025-02,62,4
464,2154,2024-01,-5,5
465,848,2025-09,-40,4
466,3425,2025-09,-50,3
467,1492,2024-05,-64,5
468,2396,2024-01,21,3
469,459,2025-01,47,4
470,2044,2024-07,-37,4
471,1378,2024-04,8,4
472,3178,2024-03,-26,2
473,2613,2025-04,81,4
474,3202,2024-09,82,2
475,1076,2025-07,93,3
476,2261,2024-08,73,3
477,2169,2025-03,74,2
478,860,2024-07,12,4
479,1123,2025-02,10,2
480,2312,2025-05,-40,1
481,504,2024-09,51,4
482,1371,2025-10,-36,5
483,2540,2025-04,-33,2
484,2881,2024-05,90,3
485,2019,2025-10,-98,5
486,2293,2024-12,-77,2
487,2828,2025-06,56,3
488,792,2024-09,37,4
489,2326,2024-01,57,4
490,2521,2025-02,-7,1
491,2799,2025-01,-99,1
492,2084,2025-06,-41,2
493,531,2025-06,73,3
494,173,2025-05,33,4
495,2105,2025-01,77,2
496,949,2024-01,-99,1
497,1259,2025-03,-36,4
498,1582,2025-11,38,3
499,2557,2025-10,-97,1
500,1214,2024-02,-10,3
501,1987,2025-09,76,3
502,1706,2024-04,-68,3
503,186,2024-02,-86,5
504,2369,2024-01,28,1
505,1828,2025-01,-54,4
506,757,2024-05,-64,1
507,2550,2025-03,9,4
508,342,2024-12,21,2
509,901,2025-09,64,4
510,819,2024-06,-80,1
511,2242,2024/07,57,4
512,3391,2025-01,34,2
513,2881,2024-04,36,2
514,474,2024-11,-53,2
515,224,2025-03,66,2
516,2703,2025-03,-76,4
517,1980,2024-12,37,1
518,1229,2024-03,-73,4
519,3041,2024-07,28,1
520,611,2024-02,-10,2
521,433,2025-11,-67,3
522,1712,2025-02,-61,1
523,923,2024-08,-12,5
524,796,2024-08,-27,4
525,2144,2024-02,-10,4
526,1044,2024-12,-13,5
527,2005,2024-02,-97,2
528,1942,2025-05,-14,1
529,2718,2024-05,-19,5
530,3343,2024-03,-22,4
531,2155,2024-03,-55,3
532,983,2024-01,-62,1
533,1973,2024-10,-82,2
534,1653,2024-02,25,3
535,1548,2024-02,9,1
536,1182,2024-06,63,3
537,269,2025-02,-53,5
538,845,2024-06,-19,3
539,2025,2024-10,-62,4
540,242,2024-11,89,2
541,537,2025-03,58,3
542,1954,2024-02,-71,1
543,3411,2025-12,62,4
544,572,2024-03,85,3
545,269,2025-12,32,4
546,1198,2024-07,99,2
547,260,2024-11,-62,2
548,3070,2024-02,-42,4
549,2697,2024-09,27,4
550,400,2025-10,8,4
551,347,2025-05,43,1
552,1853,2025-03,94,1
553,1388,2024-09,-54,2
554,2375,2025-11,75,2
555,3177,2025-07,-74,3
556,1145,2024-07,-8,3
557,2699,2025-03,-13,1
558,1141,2024-10,62,1
559,798,2024-05,-15,5
560,3325,2025-04,66,3
561,860,2024-10,-70,1
562,491,2024-03,99,5
563,2029,2025-09,-62,2
564,2041,2025-03,18,4
565,1667,2025-02,0,3
566,299,2025-12,-82,1
567,400,2025-06,6,4
568,2596,2025-12,75,2
569,544,2025-06,8,1
570,946,2024-05,41,2
571,2750,2024-12,97,5
572,1159,2025-01,-40,3
573,1181,2024-08,-93,3
574,3139,2024-08,38,4
575,2737,2025-03,58,2
576,2427,2024-10,-72,1
577,651,2024-03,-30,1
578,975,2025-02,-28,1
579,2054,2025-03,51,5
580,2873,2025-08,76,5
581,1730,2024-03,47,3
582,2548,2024-11,-41,3
583,1118,2025-10,24,2
584,1252,2024-07,-46,3
585,2085,2025-06,26,1
586,1942,2024-09,93,4
587,427,2024-05,33,3
588,1331,2025-06,57,5
589,2934,2025-07,50,2
590,1828,2025-10,-5,4
591,2547,2025-06,-74,1
592,2831,2024-08,96,1
593,983,2025-06,-28,4
594,805,2024-01,78,5
595,1988,2024-09,69,5
596,1643,2024-06,37,1
597,3090,2025-01,10,2
598,626,2025-05,-45,3
599,1447,2025-03,-73,2
600,167,2024-05,75,2
601,1245,2024-10,93,2
602,2012,2024-03,35,1
603,2737,2025-02,98,5
604,2892,2025-06,-57,2
605,5,2024-06,3,3
606,2988,2025-01,-65,4
607,2351,2025-09,7,1
608,691,2024-03,79,2
609,740,2025-12,-42,4
610,2662,2024-08,-16,5
611,2378,2024-08,3,3
612,706,2025-06,-7,5
613,1500,2024-09,94,1
614,2941,2024-10,-15,4
615,70,2024-06,-49,5
616,1752,2024-04,-35,4
617,2995,2025-09,-39,1
618,14,2024-03,-37,1
619,1872,2024-04,80,3
620,1914,2025-08,3,3
621,1075,2025-08,-23,4
622,1848,2024-06,-72,5
623,2410,2025-08,95,3
624,972,2025-06,-70,2
625,1699,2024-08,-30,1
626,1838,2024-02,40,5
627,120,2025-07,-100,4
628,729,2025-05,-37,4
629,2228,2024-11,91,4
630,1675,2024-07,-96,5
631,3321,2024-09,-53,5
632,2912,2024-07,-83,5
633,761,2025-10,39,1
634,3416,2024-05,-98,2
635,2956,2024-11,-91,1
636,1441,2025-04,-6,1
637,2127,2024-02,50,5
638,959,2025-01,81,3
639,267,2025-04,-56,4
640,814,2025-01,14,3
641,2501,2025-04,60,3
642,1956,2024-12,46,1
643,1513,2025-04,94,4
644,1648,2025-12,-85,4
645,2719,2024-09,-91,1
646,2384,2024-09,37,2
647,2178,2025-05,-27,5
648,1718,2024-03,48,5
649,10,2024-07,43,4
650,1143,2024-04,-12,5
651,433,2024-12,100,5
652,2652,2024-03,77,4
653,1208,2024-06,-28,3
654,840,2024-11,-99,4
655,1651,2025-03,99,5
656,1644,2024-11,94,5
657,3193,2025-08,80,2
658,613,2025-08,-89,2
659,2816,2024-03,44,1
660,740,2025-05,93,1
661,2746,2024-01,-24,2
662,1844,2024-05,51,2
663,1849,2025-07,7,5
664,2415,2025-02,-7,3
665,319,2024-08,44,4
666,2731,2024-04,16,2
667,2555,2024-08,37,3
668,680,2025-07,-56,5
669,297,2025-02,-43,2
670,2478,2024-04,28,2
671,314,2024-12,12,3
672,1987,2024-05,-23,2
673,874,2024-03,67,3
674,2460,2024-03,-32,4
675,3160,2025-07,-5,3
676,2883,2024-04,-37,1
677,2569,2024-05,13,4
678,2202,2025-09,13,5
679,263,2025-08,-35,2
680,3254,2025-01,55,1
681,3148,2025-07,-68,3
682,214,2024-01,54,1
683,2684,2024-05,-87,2
684,367,2024-09,-50,4
685,2068,2025-07,-19,2
686,856,2024-03,-15,2
687,435,2025-04,26,2
688,790,2024-02,88,4
689,1097,2025-12,52,5
690,1197,2024-06,9,5
691,1030,2025-06,-84,1
692,1586,2025-03,99,4
693,2193,2024-10,-36,2
694,1590,2025-07,24,5
695,2014,2025-03,62,3
696,1319,2024-11,40,5
697,950,2025-04,-78,3
698,508,2024-07,-48,2
699,1066,2025-06,99,5
700,659,2025-05,54,2
701,1776,2024-12,27,4
702,2242,2025-04,-11,1
703,2896,2025-08,88,4
704,1010,2025-04,46,5
705,433,2024-07,46,2
706,2793,2024-07,84,5
707,2486,2025-12,93,1
708,1085,2025-08,72,1
709,3411,2024-08,33,2
710,2198,2025-06,-55,2
711,2568,2024-01,-47,4
712,1204,2025-05,-70,5
713,1513,2024-05,60,1
714,1196,2024-08,-33,4
715,2506,2025-11,-55,5
716,2792,2024-04,45,3
717,2948,2025-07,13,5
718,1139,2024-10,-51,1
719,2633,2024-11,-26,4
720,2342,2024-12,-4,3
721,44,2025-10,60,3
722,2723,2025-01,-99,4
723,451,2024-06,52,4
724,441,2024-01,-85,3
725,367,2024-06,73,2
726,1881,2024-04,-77,2
727,110,2024-04,-51,5
728,1729,2025-12,-26,3
729,2448,2024-11,100,2
730,1835,2025-12,-20,3
731,916,2025-01,61,4
732,1144,2024-06,-49,N/A
733,2473,2024-04,-23,1
734,1163,2025-07,3,3
735,2282,2024-03,-75,4
736,2356,2024-02,-94,3
737,1794,2024-10,-30,2
738,1275,2024-08,58,4
739,205,2024-06,-79,1
740,2550,2025-01,64,4
741,1046,2025-02,23,3
742,1558,2024-11,-45,2
743,93,2025-01,-78,1
744,2542,2025-05,10,4
745,3117,2024-04,-14,1
746,3009,2024-09,-79,3
747,1058,2024-01,34,5
748,305,2025-12,68,4
749,326,2025-04,-9,1
750,1302,2025-08,-10,5
751,9,2025-07,77,4
752,614,2024-01,-23,5
753,2095,2024-12,-52,1
754,144,2025-09,70,5
755,2127,2025-02,5,4
756,2973,2025-03,88,5
757,3408,2025-12,83,5
758,3328,2025-06,62,5
759,989,2025-07,-30,3
760,2212,2025-08,44,5
761,160,2024-09,-5,5
762,817,2025/12,53,5
763,2670,2025-09,87,4
764,703,2024-01,47,5
765,1044,2025-02,0,3
766,1406,2024-06,99,3
767,1133,2025-01,73,1
768,2533,2025-08,-51,3
769,3109,2025-05,89,5
770,1845,2025-08,-4,1
771,1971,2024-11,-49,5
772,2507,2024-02,-41,4
773,1372,2025-10,57,1
774,1557,2024-02,-23,2
775,3256,2024-05,31,1
776,1320,2025-06,-11,4
777,909,2024-11,98,2
778,73,2024-12,-73,1
779,74,2024-02,17,1
780,2634,2024-05,-29,3
781,791,2025-05,59,2
782,2536,2025-02,89,5
783,152,2024-07,-31,5
784,2724,2024-10,82,2
785,1397,2024-11,21,5
786,2795,2025-11,-89,1
787,2847,2025-10,56,3
788,1954,2024-12,10,3
789,3340,2024-05,94,2
790,3240,2025-02,-8,4
791,2399,2024-01,-50,3
792,1686,2025-04,-66,5
793,3172,2025-02,-85,5
794,3321,2025-10,41,5
795,1400,2024-11,96,4
796,1112,2025-02,30,2
797,1037,2024-02,21,5
798,3204,2025-08,-95,2
799,529,2024-08,-97,4
800,11,2025-07,0,3
801,1716,2024-06,4,3
802,3259,2024-09,-15,5
803,1120,2024-07,88,1
804,1728,2025-10,-34,5
805,369,2025-07,97,5
806,2810,2025-05,-48,3
807,3192,2024-08,-35,4
808,2172,2025-06,-40,2
809,424,2024-12,57,4
810,336,2025-06,-34,1
811,2534,2024-07,-8,4
812,440,2025-01,-78,4
813,234,2025-11,-21,2
814,3049,2024-02,-60,5
815,1806,2025-07,52,2
816,2039,2025-05,63,3
817,2312,2024-11,-46,5
818,1181,2025-10,98,1
819,804,2025-06,-15,3
820,1779,2025-01,67,4
821,260,2024-08,-51,1
822,1011,2025-05,72,3
823,2033,2024-02,-72,4
824,3230,2024-07,-28,5
825,2065,2024-11,-24,2
826,2574,2024-06,-63,5
827,1069,2025-02,92,4
828,196,2025-09,-41,3
829,1289,2024-09,-16,3
830,2368,2024-10,-97,5
831,157,2024-10,37,4
832,2967,2025-06,-64,3
833,1014,2025-06,-43,5
834,2356,2024-06,84,4
835,3023,2025-10,73,2
836,2095,2025-04,-77,4
837,587,2025-10,25,5
838,876,2025-10,50,4
839,1604,2025-02,91,4
840,3354,2025-05,-52,4
841,2319,2025-04,-35,5
842,2112,2025-03,-53,1
843,2750,2025-01,8,5
844,485,2024-06,21,5
845,278,2024-09,-62,1
846,1998,2025-05,-96,4
847,2028,2025-06,-73,3
848,882,2024-12,-59,2
849,2149,2024-03,17,1
850,525,2024-04,-60,2
851,677,2025-10,61,4
852,3062,2024-04,29,3
853,106,2024-07,-60,1
854,1911,2024-02,99,2
855,2892,2024-06,41,1
856,2442,2025-09,74,2
857,1508,2024-07,34,5
858,1077,2025-09,32,4
859,209,2025-08,-4,5
860,426,2025-05,31,1
861,1980,2024-07,54,4
862,1811,2025-12,98,2
863,1291,2025-03,19,3
864,1002,2025-07,51,5
865,275,2024-09,90,5
866,422,2025-04,22,4
867,984,2025-04,53,5
868,3164,2025-03,-63,3
869,1120,2025-03,78,1
870,397,2025-05,96,5
871,1970,2025-12,-28,1
872,434,2025-09,78,2
873,1382,2024-08,63,5
874,2494,2025-10,-54,5
875,367,2024-09,99,1
876,3161,2024-06,17,5
877,2177,2024-05,-68,4
878,3132,2025-05,-79,1
879,2497,2024-12,2,3
880,3309,2025-08,4,2
881,1738,2025-09,73,3
882,56,2025-01,2,1
883,217,2024-06,-21,1
884,628,2024-03,-37,4
885,354,2025-12,2,4
886,2767,2024-08,-47,1
887,3236,2024-01,50,4
888,2130,2024-10,-73,3
889,649,2025-08,65,5
890,3354,2024-03,-57,3
891,1054,2025-05,-60,3
892,3022,2024-10,95,1
893,2355,2025-10,-22,5
894,1500,2024-11,36,4
895,2713,2025-01,-21,1
896,2274,2024-11,97,1
897,3121,2025-05,-70,2
898,2082,2024-02,-7,3
899,1354,2024-02,-82,5
900,325,2025-02,14,4
901,3399,2024-10,49,1
902,2673,2024-05,-6,1
903,356,2025-07,71,2
904,2079,2025-06,54,1
905,2831,2024-03,91,1
906,2398,2024-05,100,1
907,932,2025-07,92,4
908,474,2024-12,-13,4
909,3210,2024-08,99,4
910,1269,2025-01,32,1
911,2977,2024-09,-84,5
912,1595,2024-03,-84,2
913,2611,2025-04,-21,1
914,833,2025-05,11,1
915,2068,2024-02,-84,2
916,1919,2024-06,15,1
917,735,2025-03,36,2
918,2333,2025-07,39,4
919,1583,2025-10,95,5
920,2239,2025-03,-27,1
921,120,2024-03,-93,3
922,422,2024-09,92,2
923,2430,2024-07,5,2
924,3412,2025-12,26,4
925,397,2024-01,7,2
926,87,2024-10,-3,3
927,885,2025-01,-68,2
928,147,2024-08,13,2
929,840,2025-06,67,4
930,2371,2024-04,-78,2
931,2699,2025-11,-21,3
932,2161,2024-10,87,4
933,1373,2024-09,-16,4
934,531,2025-11,-68,4
935,1831,2024-04,93,3
936,3305,2024-12,-73,3
937,715,2024-01,-51,1
938,1859,2025-01,-7,4
939,1145,2024-08,-23,4
940,1226,2025-06,-17,3
941,1754,2025-01,54,4
942,580,2025-04,11,4
943,666,2025-10,-4,1
944,141,2025-11,41,2
945,2363,2024-06,21,4
946,3114,2025-01,26,1
947,1539,2025-07,-4,5
948,2125,2024-04,11,2
949,3370,2024-12,-44,4
950,2601,2025-02,-17,3
951,845,2025-09,-68,4
952,2658,2024-03,-84,2
953,1357,2025-09,70,4
954,3286,2024-06,62,1
955,3167,2025-09,-45,2
956,142,2025-04,-8,1
957,3035,2024-10,100,1
958,823,2024-04,6,1
959,1659,2024-09,-98,3
960,2566,2025-06,16,1
961,424,2024-05,77,2
962,55,2025-05,-54,3
963,1401,2024-06,90,4
964,1993,2024-02,53,1
965,2012,2025-03,-89,4
966,3262,2025-08,98,3
967,871,2025-12,26,1
968,2440,2025-01,-57,1
969,655,2025-03,57,5
970,1541,2025-05,65,3
971,1821,2024-10,23,5
972,1471,2024-01,93,3
973,603,2024-06,76,1
974,653,2024-10,-38,4
975,2996,2025-04,-74,3
976,3256,2024-08,62,2
977,255,2024-06,90,2
978,797,2025-10,-41,3
979,3382,2024-03,10,5
980,400,2025-07,2,2
981,1843,2024-03,-31,3
982,992,2024-08,8,1
