employee_id,hire_date,exit_date,exit_reason
1561,,,Voluntary
2743,,,Involuntary
2308,,,Voluntary
2629,,,Voluntary
2885,,,End of contract
1025,,,Voluntary
3209,,,Invol
343,,,End of contract
729,,,Voluntary
1498,,,Voluntary
22,,,Voluntary
921,,,Involuntary
665,,,Involuntary
1637,,,Voluntary
2082,,,Voluntary
163,,,Voluntary
318,,,Voluntary
1092,,,Voluntary
1579,,,Voluntary
1817,,,Involuntary
1938,,,End of contract
751,,,Voluntary
1023,,,Voluntary
56,,,Involuntary
2550,,,Voluntary
624,,,Voluntary
271,,,Voluntary
2691,,,Voluntary
856,,,Voluntary
165,,,End of contract
435,,,Voluntary
2883,,,Voluntary
3189,,,Voluntary
2182,,,Involuntary
675,,,Involuntary
2868,,,Voluntary
2240,,,Voluntary
244,,,Voluntary
1702,,,Voluntary
2098,,,Voluntary
1538,,,Voluntary
2141,,,Voluntary
1602,,,Involuntary
941,,,Retirement
168,,,Voluntary
414,,,Involuntary
2978,,,Retirement
247,,,Voluntary
2023,,,Voluntary
1693,,,Involuntary
2804,,,Voluntary
2445,,,End of contract
779,,,Voluntary
1640,,,End of contract
184,,,Voluntary
727,,,End of contract
1603,,,Voluntary
934,,,Voluntary
1823,,,Voluntary
3116,,,Voluntary
2575,,,Voluntary
2745,,,Voluntary
1809,,,Involuntary
696,,,Voluntary
873,,,Voluntary
217,,,Voluntary
2722,,,End of contract
1601,,2025-12-31,Involuntary
2855,,,Voluntary
763,,,End of contract
2941,,,End of contract
1950,,,Voluntary
2404,,,Voluntary
899,,,Voluntary
2735,,,Involuntary
3420,,,End of contract
280,,,Voluntary
2599,,,Voluntary
448,,,Voluntary
1898,,,Voluntary
1165,,2025-12-31,End of contract
2563,,,End of contract
2985,,,Retirement
2695,,,Voluntary
1734,,,Involuntary
1808,,,End of contract
2038,,,Involuntary
332,,,Retirement
882,,,Voluntary
1257,,,Voluntary
2684,,,Voluntary
671,,,End of contract
2334,,,Voluntary
692,,,End of contract
1111,,,Voluntary
2824,,,Involuntary
241,,,Involuntary
279,,,Voluntary
2,,,Voluntary
519,,,Involuntary
2311,,,Retirement
1008,,,Voluntary
1591,,,Voluntary
284,,,End of contract
871,,,Voluntary
830,,,Voluntary
1930,,,End of contract
3006,,,Involuntary
1120,,,Voluntary
2653,,,Retirement
1384,,,Involuntary
1845,,,Voluntary
270,,,Voluntary
2637,,,End of contract
973,,,Involuntary
1376,,,Voluntary
2578,,,Voluntary
2247,,,Voluntary
2619,,,Involuntary
3108,,,Voluntary
1047,,,End of contract
2437,,,Voluntary
1329,,,Voluntary
1806,,,Voluntary
47,,,End of contract
2633,,,Voluntary
70,,,Voluntary
611,,,Voluntary
2751,,,Voluntary
1085,,,End of contract
802,,,Voluntary
1396,,,Voluntary
1671,,,End of contract
1644,,,Voluntary
2330,,,Voluntary
612,,,Voluntary
1465,,,End of contract
1427,,,End of contract
3398,,,Voluntary
2113,,,Voluntary
853,,,Voluntary
738,,,Voluntary
40,,,Voluntary
2508,,,Voluntary
1945,,,Voluntary
3346,,,Voluntary
960,,,Voluntary
651,,,Retirement
1966,,,Voluntary
2237,,,End of contract
2087,,,Voluntary
1325,,,Voluntary
3034,,,Voluntary
277,,,Retirement
2829,,,End of contract
1296,,,Voluntary
863,,,Voluntary
1326,,,Voluntary
2709,,,Voluntary
2921,,,Voluntary
2562,,,End of contract
3287,,,Involuntary
2552,,,End of contract
421,,,Voluntary
1684,,,Voluntary
2045,,,Voluntary
833,,,Involuntary
3133,,,Voluntary
504,,,Voluntary
1860,,,Voluntary
2026,,,Voluntary
1372,,2025-12-31,Voluntary
2817,,,Voluntary
2080,,,End of contract
44,,,Involuntary
1747,,,End of contract
401,,,End of contract
2669,,,Voluntary
3257,,,Voluntary
3233,,,Voluntary
842,,,Voluntary
259,,,End of contract
1877,,,end_contract
1992,,,Voluntary
405,,,Voluntary
1728,,,Voluntary
931,,,Voluntary
2919,,,Voluntary
642,,,End of contract
3328,,,Voluntary
1229,,,End of contract
2003,,,Voluntary
1981,,,Voluntary
545,,,Voluntary
2142,,,Voluntary
433,,,Voluntary
432,,,Voluntary
3341,,,Voluntary
201,,,Voluntary
792,,,Voluntary
2765,,,Voluntary
260,,,Involuntary
377,,,Involuntary
3312,,,Voluntary
1868,,,End of contract
471,,,Voluntary
3101,,,End of contract
2544,,,Voluntary
1550,,,Involuntary
1612,,2025-12-31,Voluntary
1732,,,Involuntary
1101,,,Involuntary
2443,,,Voluntary
3273,,,Voluntary
720,,,Involuntary
1701,,,voluntary
2423,,,Involuntary
769,,,Voluntary
28,,,Voluntary
2564,,,Involuntary
1006,,,Voluntary
1481,,,Voluntary
1254,,,Voluntary
1335,,,End of contract
1610,,,Voluntary
2910,,,Voluntary
136,,,Voluntary
1940,,,Voluntary
3042,,2025-12-31,Voluntary
676,,,NA
3060,,,Voluntary
949,,,End of contract
1189,,,Involuntary
1831,,,End of contract
1777,,,End of contract
1824,,,Voluntary
2976,,,Involuntary
553,,,Voluntary
1910,,,Involuntary
2667,,,Retirement
78,,,Voluntary
3005,,,Involuntary
485,,,Voluntary
1292,,,End of contract
758,,,Voluntary
2797,,,Voluntary
1303,,,End of contract
2541,,,Voluntary
1114,,,Voluntary
2971,,,Voluntary
577,,,Voluntary
2178,,,Voluntary
2819,,,Voluntary
1236,,,Voluntary
2340,,,Voluntary
737,,,End of contract
2027,,,Involuntary
428,,,Voluntary
3310,,,Voluntary
2320,,,End of contract
3194,,,Voluntary
358,,,End of contract
3076,,,End of contract
1246,,,Retirement
2447,,,Voluntary
